item_id,condition,provisional_unit,signal_kind,timestamp_rows,signal_rows,row_difference,timestamp_reversal_count,timestamp_duplicate_count,timestamp_irregular_gap_count,timestamp_content_sha256,candidate_explanations,applied_repair,alignment_status
transient:ES12:ES12C3:VO,ES12,ES12C3,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C4:VL,ES12,ES12C4,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C4:VO,ES12,ES12C4,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C5:VL,ES12,ES12C5,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C5:VO,ES12,ES12C5,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C6:VL,ES12,ES12C6,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C6:VO,ES12,ES12C6,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C7:VL,ES12,ES12C7,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C7:VO,ES12,ES12C7,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C8:VL,ES12,ES12C8,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C8:VO,ES12,ES12C8,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES14:ES14C1:VL,ES14,ES14C1,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C1:VO,ES14,ES14C1,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C2:VL,ES14,ES14C2,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C2:VO,ES14,ES14C2,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C3:VL,ES14,ES14C3,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C3:VO,ES14,ES14C3,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C4:VL,ES14,ES14C4,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C4:VO,ES14,ES14C4,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C5:VL,ES14,ES14C5,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C5:VO,ES14,ES14C5,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C6:VL,ES14,ES14C6,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C6:VO,ES14,ES14C6,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C7:VL,ES14,ES14C7,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C7:VO,ES14,ES14C7,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C8:VL,ES14,ES14C8,VL,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
transient:ES14:ES14C8:VO,ES14,ES14C8,VO,77241,77241,0,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,[],false,PASS
