scope_id,condition,provisional_unit,event_index,raw_replicate_index,reason,candidate_explanation,applied_repair,resolution
transient_time,ES12,ES12C5,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C6,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C6,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C7,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C7,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C8,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
transient_time,ES12,ES12C8,,,timestamp_signal_row_count_mismatch,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,quarantined_unresolved
physical_identity,ES10,ES10C1,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES10,ES10C2,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES10,ES10C3,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES10,ES10C4,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES10,ES10C5,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES10,ES10C6,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES10,ES10C7,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES10,ES10C8,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C1,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C2,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C3,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C4,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C5,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C6,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C7,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES12,ES12C8,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C1,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C2,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C3,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C4,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C5,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C6,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C7,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
physical_identity,ES14,ES14C8,,,stable_physical_identity_unavailable,provisional label is provenance-only,false,quarantined_unresolved
content_duplicates,,,,,exact_duplicate_candidate,"{""item_id_a"":""transient-time:ES12"",""item_id_b"":""transient-time:ES14""}",false,quarantined_unresolved
