provisional_key,physical_device_id,explicit_failure_record,threshold_crossing,event_indicator,censor_time,rul_truth,status
batch1/19,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/2,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/20,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/21,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/22,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/23,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/24,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/25,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/26,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/27,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/28,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/3,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/4,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/5,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/6,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/7,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/8,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/9,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/1,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/10,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/11,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/12,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/13,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/14,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/15,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/16,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/17,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/18,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/19,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/2,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/20,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/21,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/22,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/23,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/24,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/25,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/3,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/4,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/5,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/6,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/7,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/8,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch2/9,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/1,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/10,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/11,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/12,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/13,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/14,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/15,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/16,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/17,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/18,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/19,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/2,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/20,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/21,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/22,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/23,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/24,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/25,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/26,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/27,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/28,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/29,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/3,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/30,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/4,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/5,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/6,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/7,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/8,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch3/9,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/1,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/10,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/11,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/12,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/13,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/14,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/15,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/16,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/17,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/18,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/19,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/2,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/20,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/21,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/22,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/23,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/24,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/25,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/26,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/27,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/28,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/29,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/3,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/30,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/4,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/5,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/6,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/7,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/8,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch4/9,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
